model,three_days,five_days,seven_days,ten_days
1000D Rebel XS,56.66482064258223,57.52144667360027,58.37807270461832,59.66301175114538
100D Rebel SL1,184.16066708839224,186.94470168920088,189.72873629000952,193.90478819122248
10D,33.026146297851675,33.52541650293003,34.024686708008375,34.7735920156259
1100D Rebel T3,115.69067547860539,117.43962029193389,119.1885651052624,121.81198232525516
1200D Rebel T5,178.49418502413403,181.19255702184086,183.8909290195477,187.93848701610796
1300D Rebel T6,226.65456050194203,230.08099324051165,233.50742597908123,238.6470750869356
1D,102.4688839953362,104.01794940142716,105.56701480751812,107.89061291665456
1D C,2366.8328934200176,2402.61330610961,2438.393718799203,2492.0643378335917
1D Mk II,141.1898447677674,143.32427129505402,145.45869782234064,148.66033761327057
1D Mk II N,165.27239354086484,167.77088613133412,170.26937872180343,174.01711760750737
1D Mk III,330.5447870817297,335.54177226266825,340.53875744360687,348.03423521501475
1D Mk IV,670.5337109372231,680.6704523042699,690.8071936713168,706.0123057218871
1D X,1604.5588378624534,1628.815631640781,1653.0724254191086,1689.4576160866
1D X Mk II,3494.330606292571,3547.1558782053503,3599.98115011813,3679.2190579872986
1Ds,172.35549612118763,174.96106696553417,177.56663780988072,181.47499407640052
1Ds Mk II,368.3213341767845,373.88940337840177,379.45747258001904,387.80957638244496
1Ds Mk III,720.1059848627087,730.9921312358912,741.8782776090737,758.2074971688473
2000D Rebel T7,282.3796895355348,286.64854259010804,290.9173956446813,297.32067522654114
200D Rebel SL2,344.71099224237526,349.92213393106834,355.13327561976143,362.94998815280104
20D,42.498615481936675,43.1410850052002,43.78355452846374,44.74725881335903
250D Rebel SL3,415.542018045603,421.82394227306867,428.1058665005343,437.5287528417328
300D Digital Rebel,32.610604279806076,33.103592560656956,33.596580841507844,34.336063262784165
30D,61.38688902946408,62.31490056306696,63.24291209666985,64.63492939707416
350D Rebel XT,45.138251710203626,45.820625729412086,46.502999748620546,47.526560777433225
400D Rebel XTi,56.61759995871341,57.47351213470561,58.3294243106978,59.6132925746861
40D,82.16398993174424,83.40609767672039,84.64820542169656,86.5113670391608
450D Rebel XSi,84.05281728649697,85.32347923250707,86.59414117851718,88.50013409753231
500D Rebel T1i,100.58005664058346,102.10056784564048,103.62107905069752,105.90184585828305
50D,153.4672225736602,155.7872514076674,158.1072802416746,161.5873234926854
550D Rebel T2i,131.2735011553155,133.25801812717395,135.24253509903244,138.21931055682012
5D,245.54755611785632,249.25960225226785,252.9716483866794,258.53971758829664
5D Mk II,428.76380952887223,435.2456131635754,441.7274167982786,451.4501222503334
5D Mk III,943.4692636989942,957.7320871154445,971.994910531895,993.3891456565706
5D Mk IV,1804.500657499805,1831.7800562285797,1859.0594549573545,1899.9785530505164
5Ds,1218.293643815518,1236.7111034824059,1255.1285631492938,1282.7547526496257
5Ds R,1488.4006776135468,1510.90145941379,1533.4022412140332,1567.153413914398
600D Rebel T3i,174.7070861778548,177.34820700248858,179.9893278271224,183.95100906407308
60D,229.96473044114623,233.4412044170278,236.91767839290935,242.13238935673166
60Da,708.3102580322778,719.0180834200034,729.725908807729,745.7876468893172
650D Rebel T4i,206.82659534542515,209.953280358641,213.07996537185687,217.76999289168063
6D,557.2040696520586,565.6275589570694,574.0510482620801,586.6862822195963
6D Mk II,991.634361245189,1006.6253167880047,1021.6162723308206,1044.1027056450441
700D Rebel T5i,245.54755611785632,249.25960225226785,252.9716483866794,258.53971758829664
70D,358.8771974030208,364.3024955994684,369.727793795916,377.8657410905874
750D Rebel T6i,344.71099224237526,349.92213393106834,355.13327561976143,362.94998815280104
760D Rebel T6s,356.0439563708917,361.4264232657884,366.8088901606851,374.88259050303014
77D,462.76270191442154,469.75848116773557,476.7542604210496,487.24792930102063
7D,251.70513329435025,255.5102661241324,259.31539895391455,265.0230981985878
7D Mk II,665.8116425503412,675.8769984148032,685.9423542792653,701.0403880759583
800D Rebel T7i,434.42556952474354,440.99296437704595,447.56035922934836,457.411451507802
80D,587.44419560165,596.324837665214,605.2054797287781,618.5264428241242
D30,67.52557793241049,68.54639061937365,69.56720330633682,71.09842233678158
D60,47.220683868818526,47.93453889466689,48.64839392051527,49.719176459287816
M,136.93053908279995,139.00057588675506,141.07061269071016,144.17566789664284
M10,146.37939792495055,148.59227711957791,150.80515631420528,154.12447510614632
M100,219.5667358532324,222.88601895242215,226.20530205161188,231.1842267003965
M2,151.1061883802193,153.39052446293405,155.67486054564884,159.10136466972102
M3,202.1045269585433,205.1598264691743,208.21512597980532,212.79807524575185
M5,367.37692049940813,372.93071260050846,378.4845047016088,386.8151928532592
M50,443.8744283668941,450.5846656098688,457.2949028528435,467.3602587173055
M6,316.36913778431034,321.15182368648925,325.93450958866816,333.1085384419365
R,1558.2825676710113,1581.8397835240075,1605.3969993770038,1640.732823156498
RP,936.8583679573595,951.0212516701912,965.1841353830229,986.4284609522703
