model,p1,p2,p3,p4,t1,t2,t3,t4
1000D Rebel XS,51.0,57.0,63.0,69.0,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
100D Rebel SL1,165.75,185.25,204.75,224.24999999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
10D,29.7245,33.2215,36.7185,40.2155,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1100D Rebel T3,104.125,116.375,128.625,140.875,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1200D Rebel T5,160.65,179.54999999999998,198.45000000000002,217.35,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1300D Rebel T6,203.99575,227.99525,251.99475,275.99424999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D,92.225,103.07499999999999,113.92500000000001,124.77499999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D C,2130.219,2380.833,2631.4470000000006,2882.061,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D Mk II,127.075,142.025,156.975,171.92499999999998,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D Mk II N,148.75,166.25,183.75,201.24999999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D Mk III,297.5,332.5,367.5,402.49999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D Mk IV,603.5,674.5,745.5,816.4999999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D X,1444.1499999999999,1614.05,1783.95,1953.85,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1D X Mk II,3145.0,3515.0,3885.0,4255.0,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1Ds,155.125,173.375,191.625,209.87499999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1Ds Mk II,331.5,370.5,409.5,448.49999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
1Ds Mk III,648.1165,724.3655,800.6145,876.8634999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
2000D Rebel T7,254.15,284.05,313.95,343.84999999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
200D Rebel SL2,310.25,346.75,383.25,419.74999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
20D,38.25,42.75,47.25,51.74999999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
250D Rebel SL3,374.0,418.0,462.0,505.99999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
300D Digital Rebel,29.3505,32.8035,36.2565,39.7095,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
30D,55.25,61.75,68.25,74.75,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
350D Rebel XT,40.625750000000004,45.40525,50.18475,54.96425,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
400D Rebel XTi,50.9575,56.9525,62.947500000000005,68.9425,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
40D,73.95,82.64999999999999,91.35000000000001,100.05,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
450D Rebel XSi,75.64999999999999,84.55,93.45,102.35,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
500D Rebel T1i,90.52499999999999,101.175,111.825,122.475,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
50D,138.125,154.375,170.625,186.87499999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
550D Rebel T2i,118.14999999999999,132.04999999999998,145.95000000000002,159.85,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5D,221.0,247.0,273.0,299.0,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5D Mk II,385.9,431.29999999999995,476.70000000000005,522.0999999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5D Mk III,849.15,949.05,1048.95,1148.85,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5D Mk IV,1624.1035,1815.1744999999999,2006.2455000000002,2197.3165,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5Ds,1096.5,1225.5,1354.5,1483.4999999999998,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
5Ds R,1339.60425,1497.20475,1654.8052500000001,1812.40575,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
600D Rebel T3i,157.2415,175.7405,194.23950000000002,212.7385,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
60D,206.975,231.325,255.675,280.025,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
60Da,637.5,712.5,787.5,862.4999999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
650D Rebel T4i,186.15,208.04999999999998,229.95000000000002,251.85,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
6D,501.5,560.5,619.5,678.5,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
6D Mk II,892.5,997.5,1102.5,1207.5,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
700D Rebel T5i,221.0,247.0,273.0,299.0,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
70D,323.0,361.0,399.0,436.99999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
750D Rebel T6i,310.25,346.75,383.25,419.74999999999994,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
760D Rebel T6s,320.45,358.15,395.85,433.54999999999995,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
77D,416.5,465.5,514.5,563.5,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
7D,226.54199999999997,253.19399999999996,279.846,306.49799999999993,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
7D Mk II,599.25,669.75,740.25,810.7499999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
800D Rebel T7i,390.99575,436.99525,482.99475,528.99425,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
80D,528.717,590.919,653.121,715.323,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
D30,60.775,67.925,75.075,82.225,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
D60,42.5,47.5,52.5,57.49999999999999,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M,123.2415,137.7405,152.23950000000002,166.7385,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M10,131.74575,147.24525,162.74475,178.24425,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M100,197.6165,220.8655,244.11450000000002,267.3635,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M2,136.0,152.0,168.0,184.0,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M3,181.9,203.29999999999998,224.70000000000002,246.1,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M5,330.65,369.54999999999995,408.45000000000005,447.34999999999997,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M50,399.5,446.5,493.5,540.5,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
M6,284.7415,318.2405,351.7395,385.2385,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
R,1402.5,1567.5,1732.5,1897.4999999999998,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
RP,843.1999999999999,942.4,1041.6000000000001,1140.8,1.5308456077937227,1.6084020255801588,1.6942362148951011,1.789748144511488
